Dates,Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,,,,,,,,
1/1/17 1:00,1/1/2017,1,10401.33,9813.18,2022.04,67.08,22303.64,22303.64,,,,,,8.00,14.00
1/1/17 2:00,1/1/2017,2,9977.51,9360.71,1917.50,67.52,21323.25,43626.89,-980.39,,,,,8.50,13.50
1/1/17 3:00,1/1/2017,3,9650.52,9036.56,1845.22,67.35,20599.65,64226.54,-723.60,,24555.14,0.91,8.24,7.00,14.50
1/1/17 4:00,1/1/2017,4,9435.63,8810.69,1797.89,67.42,20111.62,84338.16,-488.03,,22365.05,,7.51,7.50,15.00
1/1/17 5:00,1/1/2017,5,9365.32,8767.97,1788.48,70.14,19991.92,104330.08,-119.70,,,,,7.75,14.75
1/1/17 6:00,1/1/2017,6,9528.02,8978.51,1825.27,75.66,20407.45,124737.53,415.53,,,,,8.00,12.25
1/1/17 7:00,1/1/2017,7,9972.06,9149.49,1893.53,82.68,21097.76,145835.30,690.31,,,,,8.25,13.75
1/1/17 8:00,1/1/2017,8,10377.80,9083.28,1909.45,85.89,21456.42,167291.72,358.66,,,,,7.86,13.96
1/1/17 9:00,1/1/2017,9,10557.21,9027.05,1920.54,80.10,21584.90,188876.62,128.48,,,,,7.86,13.96
1/1/17 10:00,1/1/2017,10,10632.46,8953.38,1880.37,71.00,21537.20,210413.82,-47.70,,,,,7.74,14.02
1/1/17 11:00,1/1/2017,11,10545.63,8926.82,1860.74,64.88,21398.06,231811.88,-139.14,,,,,7.85,13.96
1/1/17 12:00,1/1/2017,12,10417.24,8856.32,1866.22,59.35,21199.13,253011.01,-198.93,,,,,7.90,13.81
1/1/17 13:00,1/1/2017,13,10231.60,8880.27,1903.83,56.08,21071.78,274082.79,-127.34,,,,,7.92,13.67
1/1/17 14:00,1/1/2017,14,10176.59,8987.82,1917.58,53.46,21135.45,295218.24,63.67,,,,,7.91,13.88
1/1/17 15:00,1/1/2017,15,10284.08,9192.88,1977.98,53.00,21507.94,316726.18,372.49,,,,,7.86,13.89
1/1/17 16:00,1/1/2017,16,10667.20,9338.04,2046.68,54.75,22106.67,338832.85,598.73,,,,,7.86,13.88
1/1/17 17:00,1/1/2017,17,10894.14,9949.60,2257.73,62.09,23163.56,361996.40,1056.89,,,,,7.87,13.87
1/1/17 18:00,1/1/2017,18,11984.92,11322.95,2620.08,71.18,25999.12,387995.52,2835.56,,,,,7.88,13.85
1/1/17 19:00,1/1/2017,19,12262.05,11582.25,2684.64,72.55,26601.50,414597.02,602.38,,,,,7.89,13.84
1/1/17 20:00,1/1/2017,20,12112.78,11573.71,2646.10,74.74,26407.33,441004.35,-194.16,,,,,7.89,13.84
1/1/17 21:00,1/1/2017,21,11858.18,11411.53,2564.70,74.57,25908.98,466913.32,-498.36,,,,,7.88,13.87
1/1/17 22:00,1/1/2017,22,11393.32,11027.04,2432.16,73.24,24925.75,491839.07,-983.23,,,,,7.88,13.86
1/1/17 23:00,1/1/2017,23,10826.38,10426.78,2241.03,71.29,23565.48,515404.56,-1360.26,,,,,7.88,13.86
1/2/17 0:00,1/1/2017,0,10398.56,9751.79,2040.67,68.81,22259.82,22259.82,-1305.66,8.65,8.65,192509.97,,7.88,13.86
1/2/17 1:00,2/1/2017,1,9877.50,9327.12,1899.42,67.29,21171.33,21171.33,-1088.49,8.93,8.93,189153.48,,7.88,13.85
1/2/17 2:00,2/1/2017,2,9507.00,8968.83,1810.34,67.24,20353.41,20353.41,-817.92,9.29,9.29,189100.71,,7.88,13.85
1/2/17 3:00,2/1/2017,3,9313.34,8729.97,1786.28,68.31,19897.91,19897.91,-455.50,9.77,9.77,194368.96,,7.88,13.86
